industry_type,company_size,num_employees,electricity_kwh_per_month,renewable_energy_percent,diesel_litres_per_month,petrol_litres_per_month,natural_gas_m3_per_month,server_rack_count,num_servers_onprem,num_laptops,num_desktops,server_arrangement,server_area_sqft,cloud_provider,cloud_monthly_bill_inr,purchased_services_spend_inr_per_month,annual_revenue_inr_cr,electricity_level,scope1_tco2e_monthly,scope2_tco2e_monthly,scope3_tco2e_monthly,total_tco2e_monthly,scope1_pct,scope2_pct,scope3_pct,primary_recommendation,recommendation_priority,recommendation_label
Finance,medium,241,18805.3,7.5,35.4,13.1,7.3,10,8,241,19,hot_aisle_cold_aisle,423.3,none,23244.0,67801.0,76.3,very_high,0.14,14.2815,2.9527,17.3743,0.8,82.2,17.0,switch_to_renewables,HIGH,0
Finance,small,96,3875.6,48.0,16.3,10.1,2.4,7,5,96,25,stacked_high_density,113.3,none,5364.0,22068.0,12.92,medium,0.0719,1.6707,1.5969,3.3395,2.2,50.0,47.8,improve_cooling_efficiency,LOW,6
IT,large,244,7984.5,29.2,8.4,14.7,2.6,6,15,244,34,hot_aisle_cold_aisle,185.8,none,18335.0,283485.0,30.61,medium,0.0618,4.6461,5.098,9.8058,0.6,47.4,52.0,reduce_scope3_purchases,LOW,8
Finance,medium,123,11274.1,27.0,2.8,15.6,3.3,0,12,123,55,hot_aisle_cold_aisle,149.1,azure,257168.0,22879.0,50.62,high,0.0503,6.7487,6.081,12.8799,0.4,52.4,47.2,reduce_cloud_carbon,MEDIUM,5
Healthcare,medium,223,7429.3,49.5,38.9,0.3,3.2,30,79,223,50,hot_aisle_cold_aisle,1864.0,none,3383.0,54414.0,56.77,medium,0.1115,3.1296,3.5215,6.7626,1.6,46.3,52.1,adopt_cloud_migration,MEDIUM,4
IT,large,754,69076.2,38.5,82.2,33.5,14.6,15,38,754,52,custom,656.5,gcp,16102.0,88499.0,132.42,very_high,0.3275,34.8652,8.1974,43.3901,0.8,80.4,18.9,reduce_electricity_consumption,HIGH,1
Finance,medium,348,4384.9,18.5,25.7,1.2,0.5,20,50,348,56,hot_aisle_cold_aisle,1155.4,none,3679.0,21167.0,137.14,medium,0.0727,2.9659,4.4039,7.4424,1.0,39.9,59.2,adopt_cloud_migration,MEDIUM,4
Healthcare,medium,107,10003.2,32.0,9.4,1.6,1.8,56,30,107,43,stacked_high_density,1303.2,none,13093.0,59760.0,40.07,high,0.0326,5.7233,2.4607,8.2165,0.4,69.7,29.9,optimize_server_infrastructure,MEDIUM,2
Education,large,492,14551.2,38.1,27.6,14.4,0.7,11,20,492,37,hot_aisle_cold_aisle,577.9,azure,24162.0,28946.0,193.7,high,0.1087,7.4054,5.4312,12.9452,0.8,57.2,42.0,hybrid_work_policy,MEDIUM,9
Finance,large,220,4359.2,20.8,16.7,5.4,5.0,6,0,220,33,hot_aisle_cold_aisle,158.3,gcp,32515.0,127575.0,65.24,medium,0.0674,2.8417,3.9268,6.8359,1.0,41.6,57.4,reduce_scope3_purchases,LOW,8
